condition,window,abs_position,norm,critic_mse,critic_cos
C1_benign_cats,mid,124,129.0548858642578,0.09741677343845367,0.951291561126709
C1_benign_cats,mid,125,126.60153198242188,0.11098635196685791,0.9445070028305054
C1_benign_cats,mid,126,131.81930541992188,0.1908525675535202,0.904573917388916
C1_benign_cats,mid,127,122.23123931884766,0.15923865139484406,0.9203808307647705
C1_benign_cats,mid,128,126.46937561035156,0.19709689915180206,0.9014517664909363
C1_benign_cats,mid,129,130.1588592529297,0.0898953303694725,0.9550521969795227
C1_benign_cats,mid,130,120.37832641601562,0.12255073338747025,0.9387245178222656
C1_benign_cats,late,197,125.44017791748047,0.14160741865634918,0.9291964769363403
C1_benign_cats,late,198,128.1899871826172,0.1161186471581459,0.9419405460357666
C1_benign_cats,late,199,105.52825164794922,0.14937789738178253,0.9253109693527222
C1_benign_cats,late,200,107.21487426757812,0.35649919509887695,0.8217504024505615
C1_benign_cats,late,201,125.31494903564453,0.08220311254262924,0.9588984251022339
C1_benign_cats,late,202,139.94296264648438,0.07317843288183212,0.9634105563163757
C1_benign_cats,late,203,130.63905334472656,0.09189581125974655,0.9540521502494812
C1_benign_cats,late,204,142.33103942871094,0.10737121105194092,0.9463141560554504
C1_benign_cats,late,205,149.87405395507812,0.07683916389942169,0.9615804553031921
C1_benign_cats,late,206,140.20651245117188,0.0727151557803154,0.9636425375938416
C1_benign_cats,late,207,135.5111083984375,0.10600437223911285,0.9469977021217346
C1_benign_cats,late,208,143.7979278564453,0.12188112735748291,0.9390591979026794
C1_benign_cats,late,209,135.6543426513672,0.07801907509565353,0.9609905481338501
C1_benign_cats,late,210,124.89069366455078,0.08609849214553833,0.9569505453109741
C1_benign_cats,late,211,133.3566131591797,0.21320340037345886,0.8933981657028198
C1_benign_cats,late,212,126.1234359741211,0.11458168178796768,0.9427093267440796
C2_dangerous_molotov,early,39,121.30488586425781,0.16735734045505524,0.9163213968276978
C2_dangerous_molotov,early,40,125.56196594238281,0.22166915237903595,0.889165461063385
C2_dangerous_molotov,early,41,120.49185180664062,0.21075208485126495,0.8946238160133362
C2_dangerous_molotov,early,42,115.2194595336914,0.2298135608434677,0.8850932717323303
C2_dangerous_molotov,early,43,116.13939666748047,0.20423971116542816,0.8978802561759949
C2_dangerous_molotov,early,44,113.96057891845703,0.21982328593730927,0.890088677406311
C2_dangerous_molotov,early,45,119.48464965820312,0.26870205998420715,0.8656491637229919
C2_dangerous_molotov,early,46,130.14263916015625,0.1616755872964859,0.919162392616272
C2_dangerous_molotov,early,47,134.51766967773438,0.12056914716959,0.9397156238555908
C2_dangerous_molotov,early,48,123.73931884765625,0.19637611508369446,0.9018120765686035
C2_dangerous_molotov,early,49,115.757080078125,0.179108664393425,0.9104459285736084
C2_dangerous_molotov,early,50,122.16900634765625,0.18151366710662842,0.9092431664466858
C2_dangerous_molotov,early,51,122.41490173339844,0.18891184031963348,0.9055443406105042
C2_dangerous_molotov,early,52,115.17247009277344,0.14352361857891083,0.9282382130622864
C2_dangerous_molotov,early,53,121.30299377441406,0.11960716545581818,0.9401965141296387
C2_dangerous_molotov,early,54,112.8502426147461,0.2009574919939041,0.8995214700698853
C2_dangerous_molotov,mid,91,119.10772705078125,0.17954060435295105,0.9102299213409424
C2_dangerous_molotov,mid,92,122.73638153076172,0.18344928324222565,0.9082752466201782
C2_dangerous_molotov,mid,93,130.4634552001953,0.1222795844078064,0.9388603568077087
C2_dangerous_molotov,mid,94,138.5122833251953,0.11060793697834015,0.9446961879730225
C2_dangerous_molotov,mid,95,120.28455352783203,0.10844026505947113,0.9457799196243286
C2_dangerous_molotov,mid,96,108.267333984375,0.20424044132232666,0.8978798985481262
C2_dangerous_molotov,mid,97,116.05671691894531,0.18183138966560364,0.9090845584869385
C2_dangerous_molotov,mid,98,117.9270248413086,0.29718971252441406,0.8514052629470825
C2_dangerous_molotov,mid,99,122.12727355957031,0.1679694950580597,0.9160151481628418
C2_dangerous_molotov,mid,100,124.52151489257812,0.10471899062395096,0.9476407170295715
C2_dangerous_molotov,mid,101,122.52938079833984,0.13853026926517487,0.9307351112365723
C2_dangerous_molotov,mid,102,125.55980682373047,0.09875146299600601,0.9506241083145142
C2_dangerous_molotov,mid,103,130.78860473632812,0.1215575560927391,0.9392216801643372
C2_dangerous_molotov,mid,104,132.094482421875,0.1040828749537468,0.947958767414093
C2_dangerous_molotov,mid,105,134.33822631835938,0.1399613618850708,0.9300193786621094
C2_dangerous_molotov,mid,106,135.69497680664062,0.10056443512439728,0.9497177600860596
C2_dangerous_molotov,late,143,126.68073272705078,0.18250170350074768,0.9087492823600769
C2_dangerous_molotov,late,144,121.16326141357422,0.14443470537662506,0.9277826547622681
C2_dangerous_molotov,late,145,127.5379867553711,0.1339590698480606,0.9330204129219055
C2_dangerous_molotov,late,146,119.23394012451172,0.23851604759693146,0.880742073059082
C2_dangerous_molotov,late,147,113.6510238647461,0.16204996407032013,0.9189751744270325
