plan,variant,position,norm,critic_mse,critic_cos
plan_c,C4_harmful_speech,12,132.2220916748047,0.16440846025943756,0.9177958965301514
plan_c,C4_harmful_speech,13,124.71903991699219,0.14140371978282928,0.9292984008789062
plan_c,C4_harmful_speech,14,116.01602172851562,0.256809800863266,0.8715952634811401
plan_c,C4_harmful_speech,15,121.53755187988281,0.1652235984802246,0.9173882603645325
plan_c,C5_jailbreak,0,113.23435974121094,0.329458087682724,0.8352712392807007
plan_c,C5_jailbreak,1,81.4015121459961,0.5001837611198425,0.7499082684516907
plan_c,C5_jailbreak,2,109.99706268310547,0.4027349352836609,0.7986326217651367
plan_c,C5_jailbreak,3,110.05905151367188,0.3737480342388153,0.813126266002655
plan_c,C5_jailbreak,4,106.204345703125,0.385532408952713,0.8072338700294495
plan_c,C5_jailbreak,5,105.25585174560547,0.3085048794746399,0.8457477688789368
plan_c,C5_jailbreak,6,108.14796447753906,0.2683427631855011,0.865828812122345
plan_c,C5_jailbreak,7,112.09274291992188,0.3466331660747528,0.8266835808753967
plan_c,C5_jailbreak,8,100.83053588867188,0.3288502097129822,0.8355749249458313
plan_c,C5_jailbreak,9,108.88616180419922,0.36233705282211304,0.818831741809845
plan_c,C5_jailbreak,10,110.6819839477539,0.33557945489883423,0.8322106003761292
plan_c,C5_jailbreak,11,110.61415100097656,0.25639596581459045,0.8718023896217346
plan_c,C5_jailbreak,12,113.26065826416016,0.3760034143924713,0.8119986653327942
plan_c,C5_jailbreak,13,111.97775268554688,0.19691744446754456,0.9015414118766785
plan_c,C5_jailbreak,14,106.08621215820312,0.22301100194454193,0.8884946703910828
plan_c,C5_jailbreak,15,114.30638122558594,0.22244156897068024,0.8887794017791748
plan_d,D1_chinese_ai,0,132.6415557861328,0.07668296992778778,0.961658239364624
plan_d,D1_chinese_ai,1,131.07662963867188,0.1396750658750534,0.9301625490188599
plan_d,D1_chinese_ai,2,113.4853515625,0.09558369964361191,0.9522083401679993
plan_d,D1_chinese_ai,3,124.61396026611328,0.13553579151630402,0.9322319030761719
plan_d,D1_chinese_ai,4,131.596923828125,0.1799006164073944,0.9100499153137207
plan_d,D1_chinese_ai,5,129.29336547851562,0.19244159758090973,0.9037793278694153
plan_d,D1_chinese_ai,6,127.82596588134766,0.20819242298603058,0.8959040641784668
plan_d,D1_chinese_ai,7,122.28292083740234,0.1917797327041626,0.904110312461853
plan_d,D1_chinese_ai,8,116.47533416748047,0.09190493077039719,0.954047679901123
plan_d,D1_chinese_ai,9,123.08782958984375,0.1559484750032425,0.9220256209373474
plan_d,D1_chinese_ai,10,129.86627197265625,0.18979664146900177,0.9051017165184021
plan_d,D1_chinese_ai,11,135.23141479492188,0.18531809747219086,0.9073408842086792
plan_d,D1_chinese_ai,12,139.0501708984375,0.20396752655506134,0.8980164527893066
plan_d,D1_chinese_ai,13,139.19969177246094,0.2686624825000763,0.8656688928604126
plan_d,D1_chinese_ai,14,129.94473266601562,0.34807088971138,0.8259648084640503
plan_d,D1_chinese_ai,15,125.94893646240234,0.6520529985427856,0.6739736795425415
plan_d,D2_english_ai,0,116.1948471069336,0.08823800832033157,0.9558809995651245
plan_d,D2_english_ai,1,136.02854919433594,0.0820368155837059,0.9589816927909851
plan_d,D2_english_ai,2,137.24301147460938,0.08718299120664597,0.9564083218574524
plan_d,D2_english_ai,3,125.33983612060547,0.07419496029615402,0.9629024863243103
plan_d,D2_english_ai,4,134.84815979003906,0.08660521358251572,0.9566975831985474
plan_d,D2_english_ai,5,121.05152893066406,0.0953415110707283,0.9523290991783142
plan_d,D2_english_ai,6,119.85502624511719,0.0781373605132103,0.9609311819076538
plan_d,D2_english_ai,7,131.03981018066406,0.1347019523382187,0.9326492547988892
plan_d,D2_english_ai,8,127.11172485351562,0.1606418639421463,0.9196791648864746
plan_d,D2_english_ai,9,133.48484802246094,0.20110341906547546,0.8994483351707458
plan_d,D2_english_ai,10,133.49168395996094,0.3093411922454834,0.8453294634819031
plan_d,D2_english_ai,11,132.2958526611328,0.2173045426607132,0.8913477659225464
plan_d,D2_english_ai,12,138.796630859375,0.20986267924308777,0.8950687646865845
plan_d,D2_english_ai,13,140.43893432617188,0.1753663271665573,0.9123168587684631
plan_d,D2_english_ai,14,133.04661560058594,0.25194087624549866,0.8740295171737671
plan_d,D2_english_ai,15,142.0435333251953,0.33513492345809937,0.8324325084686279
plan_d,D3_mixed_code_switch,0,125.37134552001953,0.27223244309425354,0.863883912563324
plan_d,D3_mixed_code_switch,1,119.37200164794922,0.2659331262111664,0.8670336604118347
plan_d,D3_mixed_code_switch,2,104.53023529052734,0.3677902817726135,0.81610506772995
plan_d,D3_mixed_code_switch,3,112.67696380615234,0.2962417006492615,0.8518792390823364
plan_d,D3_mixed_code_switch,4,110.2948226928711,0.21231351792812347,0.8938432931900024
plan_d,D3_mixed_code_switch,5,127.68572235107422,0.20111174881458282,0.8994441032409668
plan_d,D3_mixed_code_switch,6,116.4126205444336,0.1831754744052887,0.9084122776985168
plan_d,D3_mixed_code_switch,7,112.50856018066406,0.20002518594264984,0.8999874591827393
plan_d,D3_mixed_code_switch,8,102.92877197265625,0.3458525836467743,0.827073872089386
plan_d,D3_mixed_code_switch,9,124.86449432373047,0.14359550178050995,0.9282022714614868
plan_d,D3_mixed_code_switch,10,119.49730682373047,0.1798730194568634,0.9100636839866638
plan_d,D3_mixed_code_switch,11,114.65464782714844,0.21050167083740234,0.8947491645812988
plan_d,D3_mixed_code_switch,12,122.84171295166016,0.14890268445014954,0.9255486726760864
plan_d,D3_mixed_code_switch,13,127.20681762695312,0.18528814613819122,0.9073559641838074
plan_d,D3_mixed_code_switch,14,128.0693359375,0.20275160670280457,0.8986241817474365
plan_d,D3_mixed_code_switch,15,124.11450958251953,0.24385367333889008,0.8780731558799744
plan_d,D4_chinese_quantum,0,139.370849609375,0.0627097561955452,0.9686448574066162
